username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
namansehwal,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0.0
22f1001934,0,2,0,6,7,9,0,0,0,0,0,1,0,0,1.0
divyarg,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Asies23,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Nitish_Shukla,0,4,0,2,2,10,0,0,0,0,0,0,0,0,0.0
21f2001158,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
23f2005013,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0.0
22f2000223,0,3,0,1,5,5,0,0,0,0,0,0,0,0,0.0
21f2000731,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
22f3003033,1,0,0,3,7,6,0,0,0,0,0,0,0,0,0.0
singhyash3302,0,1,0,3,5,6,2,0,0,0,0,0,0,0,0.0
himanshutiwari16,7,1,0,3,6,6,0,0,0,0,0,1,0,0,1.0
22ds2000200,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0
HritikRoshan_HRM,6,3,0,5,0,12,0,0,0,0,0,0,0,0,0.0
22f3002929,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0
Prashanth,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0.0
AdityaPhalnikar,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.0
Prahladh,0,0,0,2,3,6,0,0,0,0,0,0,0,0,0.0
Vrindaa_08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22ds3000154,2,5,0,1,1,4,0,0,0,0,0,0,0,0,0.0
Sayan93,4,0,0,1,6,2,0,0,0,0,0,0,0,0,0.0
22f3001466,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
rooshil,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Bhuvankoduri,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.0
21f3003042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23ds3000192,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0.0
21f3002751,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0.0
21f2000692,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0.0
Parnikaa,19,1,0,1,13,4,1,0,0,0,0,1,0,0,1.0
Namrata09,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0.0
s.m,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0.0
21f1006304,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0.0
22f3000709,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.0
23f1002147,0,1,0,3,2,16,0,0,0,0,0,1,0,0,1.0
ABHAY_GUPTA,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
Siris,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0.0
KR_Manikandan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Aniket,0,1,0,0,7,5,0,1,0,0,0,0,0,0,0.0
winterrolls,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Yogeshhh_12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f1001712,3,2,0,0,9,4,1,0,0,0,0,0,0,0,0.0
Aditya_9790,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
confusedmanu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3002894,0,4,0,1,0,9,0,0,0,0,0,0,0,0,0.0
21f3001584,4,2,0,2,5,11,0,0,0,0,0,0,0,0,0.0
Unnathi,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0.0
Vidya,6,1,0,1,7,2,0,0,0,0,0,0,0,0,0.0
Akshaya_v,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0
22f3001075,14,1,0,0,5,2,0,0,0,0,0,0,0,0,0.0
pmkraju,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Kavya,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Vishesh,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.0
21f2000470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23ds3000148,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
michael,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
anoop_saxena09,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0.0
22f2000628,0,1,0,1,3,2,1,0,0,0,0,0,0,0,0.0
21f3000931,3,4,0,3,14,15,0,0,0,0,0,0,0,0,0.0
Saranath,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
sovan_p,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0.0
23ds2000059,2,1,0,1,0,10,0,0,0,0,0,0,0,0,0.0
Sethiaman,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
kamtiprathyush,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Subhiksha,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
Divyanshu,1,1,0,2,3,22,0,0,0,0,0,0,0,0,0.0
23f1001597,16,5,0,0,5,3,0,0,13,0,0,0,0,0,0.0
TejasviA,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Poorneshrajeevamu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
K_Harini,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
shri_krishna,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0
