username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
S_Sathya_Priya,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
Archit_Samvart,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
22f3001311,4,12,0,2,19,18,3,0,0,0,0,6,0,0,6.0
22f1001957,0,2,0,3,5,4,1,0,1,0,0,0,0,0,0.0
21f3002903,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.0
21f3001993,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1.0
22f3002499,8,15,0,3,10,8,0,0,1,0,0,3,0,0,3.0
23ds3000166,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0
jishnu_s_g,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
rhushikesh_t,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0.0
21f3003042,1,4,0,1,2,1,0,0,0,0,0,0,0,0,0.0
21f2001203,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0.0
man,0,24,0,0,27,29,147,0,0,0,0,4,0,0,5.0
21f2001369,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0.0
Surya1113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
arun.saxena,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0.0
amanchaturvedi,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Harini80,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0.0
harsh21f3001927,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0.0
Rishita,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
gNIKHIL,4,3,0,1,6,1,0,0,0,0,0,0,0,0,0.0
21f1001712,2,3,0,0,7,4,1,0,0,0,0,0,0,0,0.0
Darthvader,0,2,0,3,1,8,0,0,0,0,0,0,0,0,0.0
RikxDragneeL,8,1,0,2,13,8,0,0,0,0,0,0,0,0,0.0
Shwet,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Iamtushar20,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0.0
22f2001312,2,3,0,1,3,2,0,0,0,0,0,0,0,0,0.0
21f1002877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
24ds1000042,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
modhuradas,7,4,0,3,1,6,0,0,0,0,0,0,0,0,0.0
aasthaawasthi,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
21f3001598,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Avi,0,14,0,0,17,6,54,0,0,0,0,3,0,0,4.0
iitmanupam,33,53,0,5,112,74,4,0,0,0,0,11,0,0,11.0
21f3000919,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Dakksh,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0
Mrinalini_V,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
21f2000485,4,3,0,3,5,4,0,0,0,0,0,1,0,0,1.0
21f1006477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
walz,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0.0
gurdeeep_ratheee,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
DevanshChauhan,1,0,0,1,2,6,0,0,0,0,0,0,0,0,0.0
Paramitaghosh,4,4,0,33,17,46,1,0,1,0,0,0,0,0,0.0
22f1000154,0,1,0,2,1,14,0,0,0,0,0,0,0,0,0.0
22f3002648,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0.0
Phalguni1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Abhinandan,1,4,0,10,7,13,0,0,0,0,0,0,0,0,0.0
Muskan,3,0,0,1,2,3,1,0,0,0,0,0,0,0,0.0
21f2001295,0,0,0,2,9,10,0,0,0,0,0,0,0,0,0.0
23ds2000038,12,0,0,1,6,3,0,0,0,0,0,0,0,0,0.0
22ds1000058,0,13,0,8,8,12,0,0,0,0,0,1,0,0,2.0
abhineetraman,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Rajeev_kumar_bhagat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21f3001128,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.0
qwertyman,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0.0
22f1000768,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0.0
22f1000718,0,3,0,2,2,6,0,0,0,0,0,0,0,0,0.0
21f3001967,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0.0
21f1002499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
21f20004451,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0.0
23f1001749,0,14,0,11,18,58,1,0,0,0,0,0,0,0,0.0
21f2000510,0,10,0,3,8,17,0,0,0,0,0,0,0,0,0.0
22f2000861,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0.0
Sumit2002,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0
opsinghumi,0,2,0,3,1,5,0,0,1,0,0,0,0,0,0.0
22f2001236,9,8,0,6,27,12,1,0,0,0,0,1,0,0,1.0
Yaswanth23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f1001597,21,4,0,0,5,1,0,0,10,0,0,0,0,0,0.0
Sonu,2,9,0,1,17,10,2,0,0,0,0,2,0,0,2.0
21f1003954,2,6,0,3,3,16,1,0,0,0,0,0,0,0,0.0
21f2001068,2,0,0,20,16,36,0,0,0,0,0,0,0,0,0.0
Soni,14,34,0,0,53,18,140,0,0,0,0,12,0,0,12.0
Ashok162,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0.0
22f1001447,1,3,0,3,2,16,0,0,0,0,0,0,0,0,0.0
21f2000901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
