username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
23f2001150,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0.0
22f3001995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Yash0238,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
23f2003787,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f2003783,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
23f3004014,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0.0
namanshyamsukha,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
23f3000990,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.0
23f2004938,16,20,0,22,36,50,3,0,0,0,0,10,0,1,10.0
24ds1000092,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
muthukumarv,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0.0
sayan,4,6,0,0,3,0,0,0,0,0,0,0,0,0,0.0
23f3000667,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0.0
23f3001435,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0
21f3001876,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
21f3002962,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0.0
22f3001724,24,1,0,6,5,12,0,0,0,0,0,0,0,0,0.0
SaurabhRao,6,1,0,2,0,2,0,0,0,0,0,0,0,0,0.0
virajpitale,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0.0
23f1002906,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0.0
Sagan,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.0
23f1001597,10,6,0,0,9,4,3,0,0,0,0,5,0,0,5.0
22f1000701,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
22f1001966,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0.0
ankit_aka_arav,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0.0
23f3002456,1,0,0,3,3,6,0,0,0,0,0,1,0,0,1.0
23f3002814,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
RAKSHIT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Srikanth1729,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0.0
ARMAN_IITM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
happy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
SUBHAM_GHOSH,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0
Nikhil11,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0.0
23f3004051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
23f3003507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23ds3000115,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0.0
23f2004661,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0.0
23f3004142,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Prince_iitm,11,3,0,2,7,14,0,0,0,0,0,0,0,0,0.0
23f2003636,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0
Karthik_POD,37,118,0,5,128,52,66,0,0,0,0,33,0,1,36.0
Riyanshi,1,1,0,1,1,9,0,0,0,0,0,0,0,0,0.0
23f2001014,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
23f1000931,0,0,0,13,1,19,1,0,0,0,0,0,0,0,0.0
23f1001339,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.0
23f3003294,0,0,0,12,1,20,1,0,0,0,0,0,0,0,0.0
23f2005067,0,7,0,0,8,3,2,0,0,0,0,3,0,0,3.0
23f2003509,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Pallavi_N_B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
PREETHT,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
23f2002267,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0
23f3001764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
23f3003566,4,6,0,63,21,86,3,0,0,0,0,0,0,0,0.0
23f3004273,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0
23f2005623,1,2,0,5,11,10,1,1,0,0,0,0,0,0,1.0
Ehsaas_Bhalla,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0.0
23f3003390,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
